inventory_id,document_number,statement_label,statement_title,report_date,period_start,period_end,web_extractor_page_index,pdf_ordinal_pages,accounting_basis,p1_role,admission_status,principal_risk,page_url
AFB-5631-0001,46,narrative,Report of the Secretary of the Treasury in pursuance of House resolutions,1793-02-04,1792-01-01,1792-12-31,13-15,14-16,explains settlement status and distinctions among statements A through F,definition_control,admit_metadata_only,fourth-quarter Treasurer account was rendered but not yet formally settled,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=14
AFB-5631-0002,46,A,General account of Receipts and Expenditures of Public Moneys,1793-01-28,1792-01-01,1792-12-31,16,17,cash received into and expenditures from Treasury; opening and closing balances included,primary_P1_cash_candidate,image_verified_and_transcribed,verified exact arithmetic; four-million-dollar Bank subscription loop excluded pending reconstruction,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=17
AFB-5631-0003,46,B,General account of income and expenditure,1793-02-04,1789-03-04,1792-12-31,17-18,18-19,cumulative income mixing collected and outstanding revenue estimates domestic loans and foreign-loan proceeds,reconciliation_only,exclude_from_primary_ratio,not a cash-only annual statement and contains estimates for missing customs returns,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=18
AFB-5631-0004,46,Ba,Statement of the Income and Expenditures of the United States,1793-02-04,1789-03-04,1792-12-31,19,20,alternate cumulative presentation of statement B with cash balances loans estimated revenue and outstanding obligations,reconciliation_only,exclude_from_primary_ratio,printed total differs from statement B and mixes accounting states,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=20
AFB-5631-0005,46,D,State of the balances in the hands of the Collectors taken from weekly returns,1793-02-01,1792-12-31,1793-01-07,20,21,district-level collector cash balances snapshot,timing_and_custody_support,exclude_from_Treasury_receipts,collector-held cash is not cash received into Treasury and the snapshot date follows year end,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=21
AFB-5631-0006,46,E,Amount of bonds becoming due for duties in the several States,1793-02-01,1792-12-01,1794-05-31,20-21,21-22,outstanding customs bonds by state and maturity interval,customs_credit_support,exclude_from_cash_receipts,missing schedules were replaced with prior-year schedules and an estimated statutory-rate increment,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=21
AFB-5631-0007,46,F,The revenue on Spirits distilled in the United States prior to the year 1793,1793-02-02,1791-07-01,1792-12-31,21,22,cash received plus allowances expenses and outstanding credits or bonds; includes estimated missing returns,noncustoms_revenue_reconciliation,blocked_pending_component_transcription,cash receipts accrued duties expenses and outstanding balances appear in one account,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=22
AFB-5631-0008,47,IV,Quarterly statement of Cash in the hands of the Treasurer of the United States for the year 1791,1793-02-13,1791-01-01,1791-12-31,34,35,Treasurer cash balances and bank locations at selected quarter ends,opening_period_liquidity_support,exclude_from_receipt_denominator,stock measure of cash at dates is not a flow of receipts,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=35
AFB-5631-0009,47,V,Statement of Cash in the Treasury during the year 1792 showing the balance on hand half monthly,1793-02-13,1792-01-01,1793-01-01,35,36,half-monthly Treasury balances by bank with bills and specie totals,P3_timing_support,exclude_from_P1_receipt_denominator,balances include location and instrument composition but do not identify receipt source,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=36
AFB-5631-0010,47,A,Statement of the Revenue of the United States and appropriations charged thereon to the end of the year 1792,1793-02-14,1789-03-04,1792-12-31,40,41,cumulative revenue products including estimates compared with legal appropriations,legal_and_accrual_reconciliation,exclude_from_primary_ratio,estimated products and appropriations are not cash receipts or payments,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=41
AFB-5631-0011,47,B,General Statement of the Appropriations made by law and of the Expenditures of the United States,1793-02-14,1792-01-01,1792-12-31,41-43,42-44,appropriations payments and unexpended balances by statute,P1_cash_use_candidate,image_verified_and_transcribed,all 22 payment-purpose columns sum exactly to the printed control total; appropriation authority remains separate; Bank subscription excluded analytically and foreign-fund payments flagged,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=42
AFB-5631-0012,47,E,Probable state of Cash from the last of December 1792 to the first of April 1793,1793-02-20,1792-12-31,1793-04-01,55,56,forecast cash availability combining balances expected customs receipts loans warrants arrears debt service and projected expenditures,P3_forecast_and_ex_ante_risk,exclude_from_realized_P1,forecast combines realized balances with expected receipts and obligations,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1793.pdf#page=56
