inventory_id,document_number,statement_label,statement_title,report_date,period_start,period_end,web_extractor_page_index,pdf_ordinal_pages,accounting_basis,p1_role,admission_status,principal_risk,page_url
AFB-5636-0001,99,narrative+estimate,Estimate of the Expenditure and Revenue of the United States during the year 1796,1796-05-05,1796-01-01,1796-12-31,43-44,44-45,probable receipts and expenditures including expected customs and a financing gap,P3_ex_ante_risk,exclude_from_realized_P1,forecast prepared during the year; customs amount is expected rather than realized,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=44
AFB-5636-0002,101,narrative,Report of the Commissioners of the Sinking Fund,1796-12-16,1790-01-01,1796-12-16,95,96,cumulative stock purchases and specie paid plus pending cash and loan activity,debt_service_context,admit_metadata_only,combines cumulative purchases current balances and intended future application,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=96
AFB-5636-0003,101,A,Statement of the Purchases of Public Stock by the Agents to the Trustees named in the Act for the Reduction of the Public Debt,1796-11-30,1790-01-01,1795-11-21,96,97,stock face values by class and specie moneys expended,cash_debt_service_candidate,image_pass_1_complete_pending_second,face value of stock purchased must remain separate from cash expended; cumulative interval,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=97
AFB-5636-0004,101,B,Statement of the application of moneys drawn from appropriations for reduction of the six per cent stock bearing a present interest,1796-11-30,1796-01-01,1796-11-30,97,98,cash drawn from interest and combined customs and internal-revenue proceeds for principal reimbursement,cash_principal_service_candidate,image_pass_1_complete_pending_second,source line combines import and tonnage duties with domestic distilled-spirits duties so customs funding cannot be isolated,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=98
AFB-5636-0005,101,bank-stock-sale-account,Report and accounts for sale of United States Bank stock and application to bank debts,1797-01-24,1796-08-16,1796-12-31,97-100,98-101,asset-sale proceeds received into Treasury then applied to named bank-loan instalments,asset_sale_and_debt_service_candidate,image_pass_1_complete_pending_second,sale proceeds and six-percent-stock borrowing are combined in the 1.2 million dollar application; transaction dates require reconstruction,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=98
AFB-5636-0006,102,drawbacks-table,Statement exhibiting Drawbacks paid on dutiable articles exported compared with Duties collected on the same,1796-12-16,1793-01-01,1795-12-31,101-103,102-104,annual duties received and drawbacks paid by article; 1795 note adds late collector detail,customs_gross_and_offset_candidate,image_pass_1_complete_pending_definition_and_second,duties received are not explicitly described as cash received into Treasury; 1795 drawback printed total requires the page 104 adjustment,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=102
AFB-5636-0007,106,narrative,Public Debt report in obedience to House resolution of June 1 1796,1796-12-28,1790-01-01,1795-12-31,111-112,112-113,retrospective synopsis of statements A through H,definition_control,admit_metadata_only,summary mixes debt stocks cash payments loan balances bank stock and accrued uncollected customs bonds,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=112
AFB-5636-0008,106,A,Statement of the foreign and domestic debts of the United States including assumed debt on January 1 1790,1796-09-30,1790-01-01,1790-01-01,112-113,113-114,debt principal interest estimates and assumed debt stock,opening_debt_stock_context,exclude_from_cash_ratios,stock and estimated claim measure rather than annual cash flow,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=113
AFB-5636-0009,106,B,Statement of the foreign and domestic debts of the United States including assumed debt on January 1 1791,1796-09-30,1791-01-01,1791-01-01,113-114,114-115,debt principal interest and assumed debt stock,debt_stock_context,exclude_from_cash_ratios,stock measure rather than annual cash flow,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=114
AFB-5636-0010,106,C,General Statement of payments made from funds of the present Government for claims or balances contracted by the late Government,1796-09-30,1789-03-04,1795-12-31,115-116,116-117,retrospective annual cash payments for legacy claims,cash_use_reconciliation,image_pass_1_complete_pending_second,narrow legacy-claim subset is not total federal expenditure and spans uneven annual accounts,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=116
AFB-5636-0011,106,D,General Statement of moneys paid into the Treasury for balances due on accounts originating under the late Government,1796-09-30,1789-03-04,1795-12-31,116-117,117-118,retrospective annual cash receipts into Treasury from legacy account recoveries,noncustoms_cash_receipt_candidate,image_pass_1_complete_pending_second,narrow recovery subset must not be mistaken for total receipts; individual-year totals need second transcription,https://fraser.stlouisfed.org/files/docs/publications/treasar/AR_TREASURY_1796.pdf#page=117
